id,A,B,ref_A,ref_B
0,00002_original.png,00002_HiFiC_lo.png,00002,00002
1,00002_ESRGAN_lo.png,00002_original.png,00002,00002
2,00002_ArNet_lo.png,00002_original.png,00002,00002
3,00002_original.png,00002_HiFiC_mi.png,00002,00002
4,00002_ESRGAN_mi.png,00002_original.png,00002,00002
5,00002_original.png,00002_ArNet_mi.png,00002,00002
6,00002_HiFiC_hi.png,00002_original.png,00002,00002
7,00002_original.png,00002_ESRGAN_hi.png,00002,00002
8,00002_ArNet_hi.png,00002_original.png,00002,00002
9,00002_ESRGAN_lo.png,00002_HiFiC_lo.png,00002,00002
10,00002_HiFiC_lo.png,00002_ArNet_lo.png,00002,00002
11,00002_HiFiC_lo.png,00002_HiFiC_mi.png,00002,00002
12,00002_ESRGAN_mi.png,00002_HiFiC_lo.png,00002,00002
13,00002_HiFiC_lo.png,00002_ArNet_mi.png,00002,00002
14,00002_HiFiC_hi.png,00002_HiFiC_lo.png,00002,00002
15,00002_ESRGAN_hi.png,00002_HiFiC_lo.png,00002,00002
16,00002_HiFiC_lo.png,00002_ArNet_hi.png,00002,00002
17,00002_ESRGAN_lo.png,00002_ArNet_lo.png,00002,00002
18,00002_ESRGAN_lo.png,00002_HiFiC_mi.png,00002,00002
19,00002_ESRGAN_mi.png,00002_ESRGAN_lo.png,00002,00002
20,00002_ArNet_mi.png,00002_ESRGAN_lo.png,00002,00002
21,00002_ESRGAN_lo.png,00002_HiFiC_hi.png,00002,00002
22,00002_ESRGAN_hi.png,00002_ESRGAN_lo.png,00002,00002
23,00002_ESRGAN_lo.png,00002_ArNet_hi.png,00002,00002
24,00002_HiFiC_mi.png,00002_ArNet_lo.png,00002,00002
25,00002_ESRGAN_mi.png,00002_ArNet_lo.png,00002,00002
26,00002_ArNet_mi.png,00002_ArNet_lo.png,00002,00002
27,00002_HiFiC_hi.png,00002_ArNet_lo.png,00002,00002
28,00002_ESRGAN_hi.png,00002_ArNet_lo.png,00002,00002
29,00002_ArNet_hi.png,00002_ArNet_lo.png,00002,00002
30,00002_ESRGAN_mi.png,00002_HiFiC_mi.png,00002,00002
31,00002_ArNet_mi.png,00002_HiFiC_mi.png,00002,00002
32,00002_HiFiC_mi.png,00002_HiFiC_hi.png,00002,00002
33,00002_ESRGAN_hi.png,00002_HiFiC_mi.png,00002,00002
34,00002_ArNet_hi.png,00002_HiFiC_mi.png,00002,00002
35,00002_ESRGAN_mi.png,00002_ArNet_mi.png,00002,00002
36,00002_ESRGAN_mi.png,00002_HiFiC_hi.png,00002,00002
37,00002_ESRGAN_mi.png,00002_ESRGAN_hi.png,00002,00002
38,00002_ESRGAN_mi.png,00002_ArNet_hi.png,00002,00002
39,00002_HiFiC_hi.png,00002_ArNet_mi.png,00002,00002
40,00002_ArNet_mi.png,00002_ESRGAN_hi.png,00002,00002
41,00002_ArNet_hi.png,00002_ArNet_mi.png,00002,00002
42,00002_HiFiC_hi.png,00002_ESRGAN_hi.png,00002,00002
43,00002_HiFiC_hi.png,00002_ArNet_hi.png,00002,00002
44,00002_ArNet_hi.png,00002_ESRGAN_hi.png,00002,00002
45,00004_original.png,00004_HiFiC_lo.png,00004,00004
46,00004_ESRGAN_lo.png,00004_original.png,00004,00004
47,00004_original.png,00004_ArNet_lo.png,00004,00004
48,00004_original.png,00004_HiFiC_mi.png,00004,00004
49,00004_ESRGAN_mi.png,00004_original.png,00004,00004
50,00004_ArNet_mi.png,00004_original.png,00004,00004
51,00004_HiFiC_hi.png,00004_original.png,00004,00004
52,00004_ESRGAN_hi.png,00004_original.png,00004,00004
53,00004_original.png,00004_ArNet_hi.png,00004,00004
54,00004_HiFiC_lo.png,00004_ESRGAN_lo.png,00004,00004
55,00004_HiFiC_lo.png,00004_ArNet_lo.png,00004,00004
56,00004_HiFiC_mi.png,00004_HiFiC_lo.png,00004,00004
57,00004_HiFiC_lo.png,00004_ESRGAN_mi.png,00004,00004
58,00004_HiFiC_lo.png,00004_ArNet_mi.png,00004,00004
59,00004_HiFiC_hi.png,00004_HiFiC_lo.png,00004,00004
60,00004_HiFiC_lo.png,00004_ESRGAN_hi.png,00004,00004
61,00004_HiFiC_lo.png,00004_ArNet_hi.png,00004,00004
62,00004_ESRGAN_lo.png,00004_ArNet_lo.png,00004,00004
63,00004_ESRGAN_lo.png,00004_HiFiC_mi.png,00004,00004
64,00004_ESRGAN_mi.png,00004_ESRGAN_lo.png,00004,00004
65,00004_ArNet_mi.png,00004_ESRGAN_lo.png,00004,00004
66,00004_HiFiC_hi.png,00004_ESRGAN_lo.png,00004,00004
67,00004_ESRGAN_lo.png,00004_ESRGAN_hi.png,00004,00004
68,00004_ArNet_hi.png,00004_ESRGAN_lo.png,00004,00004
69,00004_HiFiC_mi.png,00004_ArNet_lo.png,00004,00004
70,00004_ArNet_lo.png,00004_ESRGAN_mi.png,00004,00004
71,00004_ArNet_mi.png,00004_ArNet_lo.png,00004,00004
72,00004_ArNet_lo.png,00004_HiFiC_hi.png,00004,00004
73,00004_ArNet_lo.png,00004_ESRGAN_hi.png,00004,00004
74,00004_ArNet_lo.png,00004_ArNet_hi.png,00004,00004
75,00004_HiFiC_mi.png,00004_ESRGAN_mi.png,00004,00004
76,00004_ArNet_mi.png,00004_HiFiC_mi.png,00004,00004
77,00004_HiFiC_mi.png,00004_HiFiC_hi.png,00004,00004
78,00004_ESRGAN_hi.png,00004_HiFiC_mi.png,00004,00004
79,00004_ArNet_hi.png,00004_HiFiC_mi.png,00004,00004
80,00004_ArNet_mi.png,00004_ESRGAN_mi.png,00004,00004
81,00004_HiFiC_hi.png,00004_ESRGAN_mi.png,00004,00004
82,00004_ESRGAN_hi.png,00004_ESRGAN_mi.png,00004,00004
83,00004_ArNet_hi.png,00004_ESRGAN_mi.png,00004,00004
84,00004_ArNet_mi.png,00004_HiFiC_hi.png,00004,00004
85,00004_ESRGAN_hi.png,00004_ArNet_mi.png,00004,00004
86,00004_ArNet_hi.png,00004_ArNet_mi.png,00004,00004
87,00004_ESRGAN_hi.png,00004_HiFiC_hi.png,00004,00004
88,00004_HiFiC_hi.png,00004_ArNet_hi.png,00004,00004
89,00004_ArNet_hi.png,00004_ESRGAN_hi.png,00004,00004
90,00005_original.png,00005_HiFiC_lo.png,00005,00005
91,00005_ESRGAN_lo.png,00005_original.png,00005,00005
92,00005_ArNet_lo.png,00005_original.png,00005,00005
93,00005_original.png,00005_HiFiC_mi.png,00005,00005
94,00005_ESRGAN_mi.png,00005_original.png,00005,00005
95,00005_original.png,00005_ArNet_mi.png,00005,00005
96,00005_HiFiC_hi.png,00005_original.png,00005,00005
97,00005_original.png,00005_ESRGAN_hi.png,00005,00005
98,00005_original.png,00005_ArNet_hi.png,00005,00005
99,00005_HiFiC_lo.png,00005_ESRGAN_lo.png,00005,00005
100,00005_HiFiC_lo.png,00005_ArNet_lo.png,00005,00005
101,00005_HiFiC_lo.png,00005_HiFiC_mi.png,00005,00005
102,00005_HiFiC_lo.png,00005_ESRGAN_mi.png,00005,00005
103,00005_ArNet_mi.png,00005_HiFiC_lo.png,00005,00005
104,00005_HiFiC_lo.png,00005_HiFiC_hi.png,00005,00005
105,00005_ESRGAN_hi.png,00005_HiFiC_lo.png,00005,00005
106,00005_HiFiC_lo.png,00005_ArNet_hi.png,00005,00005
107,00005_ArNet_lo.png,00005_ESRGAN_lo.png,00005,00005
108,00005_ESRGAN_lo.png,00005_HiFiC_mi.png,00005,00005
109,00005_ESRGAN_lo.png,00005_ESRGAN_mi.png,00005,00005
110,00005_ArNet_mi.png,00005_ESRGAN_lo.png,00005,00005
111,00005_HiFiC_hi.png,00005_ESRGAN_lo.png,00005,00005
112,00005_ESRGAN_lo.png,00005_ESRGAN_hi.png,00005,00005
113,00005_ArNet_hi.png,00005_ESRGAN_lo.png,00005,00005
114,00005_HiFiC_mi.png,00005_ArNet_lo.png,00005,00005
115,00005_ArNet_lo.png,00005_ESRGAN_mi.png,00005,00005
116,00005_ArNet_mi.png,00005_ArNet_lo.png,00005,00005
117,00005_ArNet_lo.png,00005_HiFiC_hi.png,00005,00005
118,00005_ArNet_lo.png,00005_ESRGAN_hi.png,00005,00005
119,00005_ArNet_lo.png,00005_ArNet_hi.png,00005,00005
120,00005_ESRGAN_mi.png,00005_HiFiC_mi.png,00005,00005
121,00005_HiFiC_mi.png,00005_ArNet_mi.png,00005,00005
122,00005_HiFiC_mi.png,00005_HiFiC_hi.png,00005,00005
123,00005_ESRGAN_hi.png,00005_HiFiC_mi.png,00005,00005
124,00005_HiFiC_mi.png,00005_ArNet_hi.png,00005,00005
125,00005_ESRGAN_mi.png,00005_ArNet_mi.png,00005,00005
126,00005_ESRGAN_mi.png,00005_HiFiC_hi.png,00005,00005
127,00005_ESRGAN_hi.png,00005_ESRGAN_mi.png,00005,00005
128,00005_ESRGAN_mi.png,00005_ArNet_hi.png,00005,00005
129,00005_HiFiC_hi.png,00005_ArNet_mi.png,00005,00005
130,00005_ESRGAN_hi.png,00005_ArNet_mi.png,00005,00005
131,00005_ArNet_mi.png,00005_ArNet_hi.png,00005,00005
132,00005_ESRGAN_hi.png,00005_HiFiC_hi.png,00005,00005
133,00005_HiFiC_hi.png,00005_ArNet_hi.png,00005,00005
134,00005_ESRGAN_hi.png,00005_ArNet_hi.png,00005,00005
135,00006_HiFiC_lo.png,00006_original.png,00006,00006
136,00006_ESRGAN_lo.png,00006_original.png,00006,00006
137,00006_ArNet_lo.png,00006_original.png,00006,00006
138,00006_HiFiC_mi.png,00006_original.png,00006,00006
139,00006_ESRGAN_mi.png,00006_original.png,00006,00006
140,00006_ArNet_mi.png,00006_original.png,00006,00006
141,00006_original.png,00006_HiFiC_hi.png,00006,00006
142,00006_ESRGAN_hi.png,00006_original.png,00006,00006
143,00006_original.png,00006_ArNet_hi.png,00006,00006
144,00006_ESRGAN_lo.png,00006_HiFiC_lo.png,00006,00006
145,00006_HiFiC_lo.png,00006_ArNet_lo.png,00006,00006
146,00006_HiFiC_mi.png,00006_HiFiC_lo.png,00006,00006
147,00006_ESRGAN_mi.png,00006_HiFiC_lo.png,00006,00006
148,00006_HiFiC_lo.png,00006_ArNet_mi.png,00006,00006
149,00006_HiFiC_hi.png,00006_HiFiC_lo.png,00006,00006
150,00006_HiFiC_lo.png,00006_ESRGAN_hi.png,00006,00006
151,00006_ArNet_hi.png,00006_HiFiC_lo.png,00006,00006
152,00006_ArNet_lo.png,00006_ESRGAN_lo.png,00006,00006
153,00006_HiFiC_mi.png,00006_ESRGAN_lo.png,00006,00006
154,00006_ESRGAN_mi.png,00006_ESRGAN_lo.png,00006,00006
155,00006_ArNet_mi.png,00006_ESRGAN_lo.png,00006,00006
156,00006_HiFiC_hi.png,00006_ESRGAN_lo.png,00006,00006
157,00006_ESRGAN_hi.png,00006_ESRGAN_lo.png,00006,00006
158,00006_ESRGAN_lo.png,00006_ArNet_hi.png,00006,00006
159,00006_ArNet_lo.png,00006_HiFiC_mi.png,00006,00006
160,00006_ArNet_lo.png,00006_ESRGAN_mi.png,00006,00006
161,00006_ArNet_mi.png,00006_ArNet_lo.png,00006,00006
162,00006_ArNet_lo.png,00006_HiFiC_hi.png,00006,00006
163,00006_ESRGAN_hi.png,00006_ArNet_lo.png,00006,00006
164,00006_ArNet_hi.png,00006_ArNet_lo.png,00006,00006
165,00006_HiFiC_mi.png,00006_ESRGAN_mi.png,00006,00006
166,00006_ArNet_mi.png,00006_HiFiC_mi.png,00006,00006
167,00006_HiFiC_mi.png,00006_HiFiC_hi.png,00006,00006
168,00006_HiFiC_mi.png,00006_ESRGAN_hi.png,00006,00006
169,00006_ArNet_hi.png,00006_HiFiC_mi.png,00006,00006
170,00006_ESRGAN_mi.png,00006_ArNet_mi.png,00006,00006
171,00006_HiFiC_hi.png,00006_ESRGAN_mi.png,00006,00006
172,00006_ESRGAN_mi.png,00006_ESRGAN_hi.png,00006,00006
173,00006_ArNet_hi.png,00006_ESRGAN_mi.png,00006,00006
174,00006_HiFiC_hi.png,00006_ArNet_mi.png,00006,00006
175,00006_ArNet_mi.png,00006_ESRGAN_hi.png,00006,00006
176,00006_ArNet_mi.png,00006_ArNet_hi.png,00006,00006
177,00006_HiFiC_hi.png,00006_ESRGAN_hi.png,00006,00006
178,00006_HiFiC_hi.png,00006_ArNet_hi.png,00006,00006
179,00006_ESRGAN_hi.png,00006_ArNet_hi.png,00006,00006
180,00008_HiFiC_lo.png,00008_original.png,00008,00008
181,00008_original.png,00008_ESRGAN_lo.png,00008,00008
182,00008_original.png,00008_ArNet_lo.png,00008,00008
183,00008_original.png,00008_HiFiC_mi.png,00008,00008
184,00008_ESRGAN_mi.png,00008_original.png,00008,00008
185,00008_original.png,00008_ArNet_mi.png,00008,00008
186,00008_HiFiC_hi.png,00008_original.png,00008,00008
187,00008_ESRGAN_hi.png,00008_original.png,00008,00008
188,00008_ArNet_hi.png,00008_original.png,00008,00008
189,00008_ESRGAN_lo.png,00008_HiFiC_lo.png,00008,00008
190,00008_ArNet_lo.png,00008_HiFiC_lo.png,00008,00008
191,00008_HiFiC_lo.png,00008_HiFiC_mi.png,00008,00008
192,00008_ESRGAN_mi.png,00008_HiFiC_lo.png,00008,00008
193,00008_HiFiC_lo.png,00008_ArNet_mi.png,00008,00008
194,00008_HiFiC_hi.png,00008_HiFiC_lo.png,00008,00008
195,00008_HiFiC_lo.png,00008_ESRGAN_hi.png,00008,00008
196,00008_HiFiC_lo.png,00008_ArNet_hi.png,00008,00008
197,00008_ESRGAN_lo.png,00008_ArNet_lo.png,00008,00008
198,00008_HiFiC_mi.png,00008_ESRGAN_lo.png,00008,00008
199,00008_ESRGAN_mi.png,00008_ESRGAN_lo.png,00008,00008
200,00008_ESRGAN_lo.png,00008_ArNet_mi.png,00008,00008
201,00008_HiFiC_hi.png,00008_ESRGAN_lo.png,00008,00008
202,00008_ESRGAN_hi.png,00008_ESRGAN_lo.png,00008,00008
203,00008_ESRGAN_lo.png,00008_ArNet_hi.png,00008,00008
204,00008_ArNet_lo.png,00008_HiFiC_mi.png,00008,00008
205,00008_ESRGAN_mi.png,00008_ArNet_lo.png,00008,00008
206,00008_ArNet_mi.png,00008_ArNet_lo.png,00008,00008
207,00008_ArNet_lo.png,00008_HiFiC_hi.png,00008,00008
208,00008_ArNet_lo.png,00008_ESRGAN_hi.png,00008,00008
209,00008_ArNet_lo.png,00008_ArNet_hi.png,00008,00008
210,00008_ESRGAN_mi.png,00008_HiFiC_mi.png,00008,00008
211,00008_HiFiC_mi.png,00008_ArNet_mi.png,00008,00008
212,00008_HiFiC_hi.png,00008_HiFiC_mi.png,00008,00008
213,00008_ESRGAN_hi.png,00008_HiFiC_mi.png,00008,00008
214,00008_ArNet_hi.png,00008_HiFiC_mi.png,00008,00008
215,00008_ArNet_mi.png,00008_ESRGAN_mi.png,00008,00008
216,00008_HiFiC_hi.png,00008_ESRGAN_mi.png,00008,00008
217,00008_ESRGAN_mi.png,00008_ESRGAN_hi.png,00008,00008
218,00008_ArNet_hi.png,00008_ESRGAN_mi.png,00008,00008
219,00008_ArNet_mi.png,00008_HiFiC_hi.png,00008,00008
220,00008_ESRGAN_hi.png,00008_ArNet_mi.png,00008,00008
221,00008_ArNet_hi.png,00008_ArNet_mi.png,00008,00008
222,00008_ESRGAN_hi.png,00008_HiFiC_hi.png,00008,00008
223,00008_ArNet_hi.png,00008_HiFiC_hi.png,00008,00008
224,00008_ArNet_hi.png,00008_ESRGAN_hi.png,00008,00008
225,00009_original.png,00009_HiFiC_lo.png,00009,00009
226,00009_original.png,00009_ESRGAN_lo.png,00009,00009
227,00009_original.png,00009_ArNet_lo.png,00009,00009
228,00009_HiFiC_mi.png,00009_original.png,00009,00009
229,00009_ESRGAN_mi.png,00009_original.png,00009,00009
230,00009_original.png,00009_ArNet_mi.png,00009,00009
231,00009_HiFiC_hi.png,00009_original.png,00009,00009
232,00009_ESRGAN_hi.png,00009_original.png,00009,00009
233,00009_ArNet_hi.png,00009_original.png,00009,00009
234,00009_ESRGAN_lo.png,00009_HiFiC_lo.png,00009,00009
235,00009_HiFiC_lo.png,00009_ArNet_lo.png,00009,00009
236,00009_HiFiC_lo.png,00009_HiFiC_mi.png,00009,00009
237,00009_HiFiC_lo.png,00009_ESRGAN_mi.png,00009,00009
238,00009_HiFiC_lo.png,00009_ArNet_mi.png,00009,00009
239,00009_HiFiC_lo.png,00009_HiFiC_hi.png,00009,00009
240,00009_HiFiC_lo.png,00009_ESRGAN_hi.png,00009,00009
241,00009_ArNet_hi.png,00009_HiFiC_lo.png,00009,00009
242,00009_ArNet_lo.png,00009_ESRGAN_lo.png,00009,00009
243,00009_HiFiC_mi.png,00009_ESRGAN_lo.png,00009,00009
244,00009_ESRGAN_lo.png,00009_ESRGAN_mi.png,00009,00009
245,00009_ArNet_mi.png,00009_ESRGAN_lo.png,00009,00009
246,00009_ESRGAN_lo.png,00009_HiFiC_hi.png,00009,00009
247,00009_ESRGAN_lo.png,00009_ESRGAN_hi.png,00009,00009
248,00009_ArNet_hi.png,00009_ESRGAN_lo.png,00009,00009
249,00009_ArNet_lo.png,00009_HiFiC_mi.png,00009,00009
250,00009_ArNet_lo.png,00009_ESRGAN_mi.png,00009,00009
251,00009_ArNet_lo.png,00009_ArNet_mi.png,00009,00009
252,00009_ArNet_lo.png,00009_HiFiC_hi.png,00009,00009
253,00009_ESRGAN_hi.png,00009_ArNet_lo.png,00009,00009
254,00009_ArNet_hi.png,00009_ArNet_lo.png,00009,00009
255,00009_HiFiC_mi.png,00009_ESRGAN_mi.png,00009,00009
